title,price,address,item_url,date,Вход,Отдельный вход,Общая площадь,Этаж,Высота потолков,Отделка,Мощность электросети,Отопление,Тип аренды,Минимальный срок аренды,Тип здания,Удалённость от дороги,Парковка,lat,lon,Арендные каникулы,Количество парковочных мест,Платежи включены,Аренда части,Планировка,Класс здания
"Свободного назначения, 51.4 м²",51400,"ул. Профессора Камая, 10к2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_51.4_m_7326674499?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,1 час назад,с улицы,есть,51.4 м²,1.0,3.1 м,без отделки,"10 кВт, можно увеличить",центральное,прямая,11 мес.,жилой дом,вторая линия и дальше,"на улице, бесплатная, подходит для грузового транспорта",55.749167,49.183903,,,,,,
Свободного назначения,1500,"ул. Шамиля Усманова, 18ДНабережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7339431918?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,1 час назад,с улицы,есть,105.6 м²,1.0,4.2 м,без отделки,20 кВт,,прямая,11 мес.,другой,,"на улице, бесплатная",55.72695923,52.3827858,есть,50.0,,,,
Свободного назначения,108900,"32-й комплекс, 9Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7362482013?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,1 час назад,с улицы,,72.6 м²,1.0,2.5 м,офисная,220 кВт,,прямая,11 мес.,жилой дом,,на улице,55.72448349,52.37552643,есть,,,,,
Свободного назначения,1000,"ул. Баки Урманче, 15Нижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7369273206?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 часа назад,с улицы,,10 м²,1.0,,чистовая,,,прямая,11 мес.,торговый центр,,на улице,55.63936996,51.81071854,есть,,,,,
"Теплое помещение свободного назначения, 108 м²",400,"ул. Кирова, 1с. Большие Бутырки",https://www.avito.ru/pestretsy/kommercheskaya_nedvizhimost/teploe_pomeschenie_svobodnogo_naznacheniya_108_m_7352852589?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,4 часа назад,с улицы,есть,108 м²,1.0,3 м,чистовая,15 кВт,,прямая,6 мес.,административное здание,,"на улице, бесплатная, подходит для грузового транспорта",55.8280286484097,49.7291173150054,есть,,,,,
Склад (морской контейнер) в аренду,7000,"Индустриальный пр., 47Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/sklad_morskoy_konteyner_v_arendu_7332125928?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,4 часа назад,с улицы,есть,15 м²,1.0,2 м,без отделки,,,прямая,1 мес.,другой,,"на улице, подходит для грузового транспорта",55.71777362013451,52.43848561222113,есть,5.0,коммунальные,,,
"Свободного назначения, 112 м²",45000,"Большая Покровская ул., 136Елабуга",https://www.avito.ru/elabuga/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_112_m_7326160269?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,5 часов назад,с улицы,есть,112 м²,1.0,4 м,чистовая,,автономное,прямая,,другой,,"на улице, бесплатная",55.749268,52.095459,,,,,,
"В аренду на территории Яхт-клуба ""Аракчино"", на бе",120000,"2-я Старо-Аракчинская ул., 11Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/v_arendu_na_territorii_yaht-kluba_arakchino_na_be_7373859338?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,5 часов назад,с улицы,есть,100 м²,1.0,4 м,чистовая,"50 кВт, можно увеличить",,прямая,11 мес.,другой,,"на улице, бесплатная, подходит для грузового транспорта",55.800686,48.967669,есть,50.0,,,,
"Свободного назначения, 80 м²",144000,"ул. Горьковское Шоссе, 2Ак1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_80_m_7353905160?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,5 часов назад,с улицы,есть,80 м²,1.0,5 м,без отделки,"20 кВт, можно увеличить",центральное,прямая,11 мес.,жилой дом,первая линия,"на улице, бесплатная",55.825502,49.04116,есть,,,,,
Сдается помещение на первой линии,1500,"пр-т Чулман, 1АНабережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/sdaetsya_pomeschenie_na_pervoy_linii_7346615535?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,5 часов назад,с улицы,,108 м²,1.0,,офисная,,,прямая,,торговый центр,,нет,55.719967,52.358019,,,,,,
